0,715277777777778;Prenom;Titre;Type;Abstract;Jour;Heure_debut;Heure_fin;Num_Session;Titre_Session;Title_Session;Researchgate;Linkedin
Pineau;Antoine;Effect of combined electrical stimulation and muscle lengthening on torque development;Poster;Neuromuscular electrical stimulation (NMES) elicits muscle contractions through peripheral (motor axons? depolarization) and central (sensory axons? depolarization) pathways. The use of wide-pulse duration delivered at low intensities results in contractions mainly originating from a central pathway and gives rise to the phenomenon of extra torque (ET). However, ET is not present for all subjects. Combining a technique that enhances the activation of these afferent pathways, such as muscle lengthening (LEN), could facilitate ET generation. The study aimed to evaluate the combined effect of these two modalities (NMES + LEN) on torque development and associated neuromuscular changes.Fourteen subjects participated in one experimental session consisting of 20-s stimulation trains delivered over the tibial nerve at 20 or 100 Hz (1-ms pulse duration, intensity set to evoke ~10% of maximal voluntary contraction). During these stimulation trains, the ankle joint was either moved (180�/s) from a stretched position (80�) to the reference position (90�) (shortening, SHO), either from a shortened position (100�) to the reference one (lengthening, LEN) or maintained constant at 90� (isometric, ISO). The torque-time integral (TTI) was calculated (TTILEN, TTISHO, TTIISO) and was expressed as a percentage of the TTI of the ISO condition. Spinal excitability (maximal H-reflex normalised with respect to the maximal M-wave, i.e. Hmax/Mmax) was assessed at rest before and after each stimulation train.Results showed that TTILEN was higher than TTISHO during low-frequency (P<0.05), while there were no significant differences during high-frequency NMES. These results indicate that low-frequency NMES combined with LEN increases the developed torque, while there is no effect of superimposed LEN with highfrequency. This can be explained by a possible saturation of the afferent pathways limiting further torque increase. Spinal excitability remained unchanged suggesting that inhibitory and facilitatory phenomena at the spinal level were similarly modulated by both low and high frequency.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Barbusse;Denis;Kinematic adaptation to a normal but negative gravitational field: feedforward or feedback control?;Poster;"As humans, our ability to move is a vital and essential function whose refinement results from years of adaptation and evolution. Since gravity is ubiquitous, our central nervous system has naturally learned to make the most of it by optimising its effects to minimise the cost of our actions. Amongst other results, the optimal integration of gravity in motor control is highlighted by variations in the temporal organisation of arm kinematics according to movement direction (Gaveau et al., 2016). Indeed, gravity assists downward movements and resists upward movements, which translates into longer and shorter acceleration phases, respectively. This direction-dependent difference is called Directional Asymmetry and has been shown to reflect how much motor patterns optimize gravity effects to minimize muscle effort (Gaveau et al. 2016). Motor control studies in altered gravity demonstrated that arm kinematics rapidly adapts to new gravity conditions (Papaxanthis et al., 2005; Gaveau et al., 2016). Surprisingly, very few studies focused on the effects of inverted gravity.Eighteen volunteers were alternatively standing Head-Up and Head-Down, while asked to do vertical one-degree-of-freedom discrete arm pointing movements. To compare motor patterns between orientations and as function of time, directional differences on times to peak acceleration, velocity and deceleration were computed. Our results in the Head-Down condition support a control process that does not optimally integrate gravity effects to minimize muscle effort. Hitherto, only sparse results exist on the effect of an inversion of gravity in the egocentric reference frame. Recent works reveal a reoptimisation of gravity effects (Opsomer et al., 2021). Our contribution further suggests that this reoptimisation occurs during the latest movement phases. This supports the implication of feedback mechanisms and also that our brain uses a representation of gravity effects that not only involves an allocentric but also an egocentric representation (Le Seac?h & McIntyre 2007).";1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Mathieu;Robin;Optimization criteria in healthy young people and healthy older adults during various movements;Poster;"The CNS (Central Nervous System) is known to select movement trajectories that optimize some hidden criteria within the environment. For example, it has been shown that arm movement of both young (Gaveau et al. 2014, 2016) and older adults (Poirier et al. 2020) are tuned to harvest gravity effects and minimize muscle effort. The present study tests whether whole-body movement of young and healthy older adults also optimize similar criteria across ages. Previous work suggest that older adults tend to secure their equilibrium instead of trying to minimize the energetic cost of their movements.Ten young (2 females; 25 years old) and 4 older adults (3 females; 80 years old) performed three tasks in a randomized order.i) vertical single degree of freedom arm movements with their two arms; ii) sit to stand and back to sit movements; iii) whole body pointing movements towards an object lying on the ground. We recorded electromyograms signals from 16 muscles using bipolar surface electrodes (1000Hz) and the kinematics of 39 markers using the Plug-In-Gait model from a Vicon motion capture system (200Hz). Each movement was performed at fast and at slow velocity. Using a well-known decomposition method of tonic and phasic electromyographic activities, we computed parameters on negative phases from the phasic electromyograms (EMGs).Older adults tend to show shorter negative phases with a lower amplitude but also with a lower frequency during equilibrium related tasks. That was not the case for arm movements (Poirier et al. 2020). These preliminary results tend to confirm that older adults, when performing a whole-body movement, seem to favor equilibrium control rather than effort minimization. Additional data are being collected.";1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Perra;Joris;Eye movements reflect the development of structural processing skills in sight reading of music across expertise levels;Poster;Expert memory theories assume that over the course of practicing a discipline, knowledge structures are built up in long-term memory allowing experts to process domain-specific information in a rapid and structural way (i.e. chunks, templates). In this study, five learning levels of French conservatory from beginners to professional pianists were tested on a sight-reading task in which their eye movements were monitored. In one condition pianists were asked to sight-read classical scores that respected the domain-specific harmonic and rhythmic rules of Western music while in another condition, contemporary scores that did not respect those rules had to be sight-read. First, the results indicate that as expertise in music reading develops, musicians process visual information more rapidly (increasing their played tempo and decreasing their number and duration of fixations allocated per note), more structurally (increasing their eye-hand span) and more accurately (increasing their number of correct played AOIs). Overall, these results are in line with expert memory theories and suggest an increase in structural information processing abilities through the acquisition of music sight-reading skills. Secondly and regardless of their music reading expertise level, musicians were less accurate and showed higher number and duration of fixations when they sight-read the contemporary rather than classical scores. These results are consistent with the hypotheses developed in expert memory theories and suggest in the one hand, that domain-specific visual cues in a given task are crucial for the use of an efficient eye movement behavior in experts, and in the other hand, that eye-tracking is a fairly accurate technique to discriminate musicians according to their structural information processing skills even across the years of learning a discipline.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Torres;Julie;High imagery skills increase the pleasantness of visual textures regardless of valence: a matter of processing fluency ?;Poster;Among human senses, touch is one of the least studied, even though touch and vision are complementary senses in many activities. For instance, visual and tactile perception of surface textures conveys important information about the physical world, including pleasantness. This work focuses on the influence of imagery skills on the perception of texture pleasantness without tactile information (such as online activities). To address this question, the influence of individual characteristics on the hedonic judgment of visually displayed textures (cotton, glass, sandpaper?) was investigated through an online study. First, participants were asked to imagine them touching visually displayed textures and to rate their pleasantness. Then, their individual skills related to imagery and touch were assessed using online questionnaires (e.g., sensory imagery, need for touch). Results revealed that imagery skills influence hedonic judgement in the context of mental stimulation of touch. Interestingly, good imagers judge textures more pleasant than poor imagers, regardless of the valence of textures (pleasant, neutral or unpleasant). We discussed the role of processing fluency in mediating the influence of imagery skills on hedonic perception.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Bordeau;Camille;Comparison of auditory encodings for visual-to-auditory sensory substitution in a localization task;Poster;Visual-to-auditory sensory substitution devices are assistive tools to help blind people navigate and localize objects. They are based on an auditory encoding which converts visual information into auditory information. This auditory information is not easy to interpret without training.To provide auditory information that is quickly and efficiency interpretable, auditory encoding should be intuitive. An auditory encoding based on a sound spatialization should be intuitive. However vertical position of spatialized sounds is not easy to perceive without any training. To deal with it, we suggest the use of an auditory encoding based on sound spatialization associated with a cross-modal correspondence for vertical axis. The cross-modal correspondence consists in a pitch encoding of vertical axis.In our study, we propose 3 auditory encodings and compare blindfolded participants' interpretation abilities of this auditory information in a localization task. To assess the intuitiveness of each auditory encoding, we compare localization accuracy before and after a short familiarization with the auditory encoding.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Iorio;Claudia;The effect of auditory rhythmic priming on motor sequence learning;Poster;Implicit procedural learning is essential for the effortless execution of many everyday life activities. The most popular task used to study this process is the serial reaction time task (SRTT) which is a four-choice reaction time (RT) task in which participants are required to press a button corresponding to the location of a visual stimulus. Unbeknownst to the participant, the positions of the visual stimuli are presented in a repeated sequence. The gradual reduction in RT and errors provides a measure of the learning of the sequence.Previous studies showed that temporally regular auditory presentation induces attention-based temporal expectations that can benefit learning processes, like for instance the implicit learning of an artificial grammar or language. In our study, we investigated whether rhythmic auditory priming could also benefit learning, in particular here the learning of an implicit motor sequence. To do so, we implemented a musical priming Serial Reaction Time Task (SRTT) in which each block of practice was preceded by a short musical sequence. To study the effect of temporal regularity on the acquisition of the sequence, we compared two groups: while one group was presented with regular musical sequences (with an inter-beatinterval of 500 ms), the other one was presented with irregular musical sequences.We found a significant main effect of learning, but no interaction between regularity (regular vs. irregular) and learning, suggesting that regularity did not influence the ability of participants to learn the sequence. Although our evidence is in line with classic results from the SRTT literature, the non-significant interaction suggests that, in contrast to our hypothesis, regular priming does not seem to have a beneficial effect on motor sequence learning.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Ardonceau;Vincent;Aftereffects of vertical prism adaptation on visuospatial representation;Poster;Prism adaptation (PA) is a well-known technique to assess sensorimotor plasticity. It consists in pointing at different targets while wearing glasses that shift the visual field. PA has been well-studied in the horizontal dimension, where adaptation to both leftward and rightward optical deviations induces sensorimotor aftereffects. In healthy individuals, asymmetrical cognitive aftereffects on visuospatial representations can also be found after PA to a leftward, but not to a rightward optical deviation. Less is known in the vertical dimension, where literature is still scarce. Recent outcomes showed that it is possible to develop sensorimotor aftereffects following the adaptation to upward and downward optical deviations. In the present study, we aimed at evaluating whether vertical PA could also produce a visuospatial representational bias, assessed by a manual line-bisection task. In this task, participants were asked to mark the center of vertical lines presented in front of them. Healthy subjects naturally present a small bias toward the higher extremity of the line, named altitudinal bias, due to an overrepresentation of the upper hemispace. Our hypothesis was that adaptation to a downward optical deviation should exacerbate this altitudinal bias, shifting the visual subjective center of the line upwards. At a sensorimotor level, our preliminary results show that vertical PA to both upward and downward optical deviations induced a sensorimotor bias in the opposite direction to the optical deviation. At a cognitive level, PA to a downward, but not to an upward optical deviation, produced representational aftereffects on line-bisection task, shifting the visual subjective center of the line upwards in the vertical line-bisection task. To the best of our knowledge, this study is the first proof of cognitive aftereffects induced by PA in the vertical dimension.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Compagne;Charline;From behavioral to neural: a systematic review on the adjustments needed to adapt the balloon analogue risk task to neuroimaging studies;Poster;Decision-making is a complex cognitive process that is difficult to evaluate. Several neuropsychological instruments have been developed, including the Balloon Analogue Risk Task (BART), a computerized behavioral task that assesses decision-making function under risk. Recent studies have adapted the BART to neuroimaging in order to reveal functional or dysfunctional brain processes associated to risky behavior. However, various modifications of the paradigm have been proposed to adapt the BART to neuroimaging.Thus, we performed a systematic review based on PRISMA guidelines to focus on the necessary adaptations of the BART software according to the neuroimaging techniques. The research was conducted on the combination of the keyword ?Balloon Analogue Risk Task? or ?BART? with ?EEG?, or ?fMRI?, or ?fNIRS? or 'PET' using PubMed Database.The initial search provided 94 articles, 61 of which were included to provide a qualitative analysis. BART was adapted in four neuroimaging techniques, mainly fMRI and EEG, but also fNIRS and PET. The adaptation to neuroimaging techniques led to optional changes linked to the strategy of analyses, which affects the assessment of risk behavior.The fMRI, fNIRS, and PET studies used essentially the same design without significant change, unlike EEG studies, where a wide variety of protocols was proposed. EEG studies mainly targeted transient responses related to the reward process, whereas spatial imaging techniques (fMRI, fNIRS, PET) identified common patterns of activation during the task, with the involvement of the PFC (dlPFC and vmPFC), anterior cingulate cortex, insula, and striatum regions.To conclude, even if there is no consensus about the most appropriate BART design to study the neural processes of risktaking, our review presents the most common paradigms and their specificities depending on the research objective.;1;14h20;15h30;Session 1;Cognition, Apprentissage et Mouvement;Cognition, Learning and Mouvement;;
Karolkowski;Adeline;Understanding the off-notes and bitterness formation mechanisms of air-classification pulse-based fractions;Poster;Pulses present environmental, food functionality and nutritional benefits. They are rich in proteins, unsaturated free fatty acids, minerals and bioactive compounds. Many forms are now available such as whole seed, flour, starch and protein concentrate or isolate. The air-classification process is based on the separation of the coarse fraction (rich in starch) and the fine fraction (rich in proteins) thanks to centrifugal and gravitational forces. It is an alternative to wet processing that uses solvent and intensive drying. Despite all of the interests, pulses present off-flavours or unpleasant flavours that reduce consumer?s acceptability. Off-flavours are the sum of off-notes (unpleasant odours) due to volatile compounds, and of bitter compounds that activate taste receptors 2 (TAS2R).The aim of this thesis is to identify the molecules involved in the off-flavour perception and to understand their formation mechanism. First, the volatile compounds of different pulse fractions will be extracted by SAFE (Solvent-Assisted Flavour Evaporation) and quantified, separated and identified by GC-MS (Gaz Chromatography coupled to Mass Spectrometry). The origins of these volatiles (free fatty acid and carotenoid oxidation, and degradation of free amino acids) identified in the literature will enable to show differences between the fractions (cultivars, growth conditions, storage, transformation, ?). Moreover, the volatiles involved in the product odour will be highlighted by GC-O (GC-Olfactometry). Then, the potential bitter compounds found in the literature will be identified by NMR (Nuclear Magnetic Resonance) and quantified by HPLC-UV (High-Performance Liquid Chromatography with UltraViolet detector). Their ability to activate the 25 human TAS2R will be tested. Finally, a sensory profile will be conducted with a training panel to characterise the perception of the studied fractions. These data will be correlated with the volatile, the odour-active and the bitter compounds content identified previously, and with a consumer test to highlight the perception related to off-flavours.;1;14h20;15h30;Session 1;Go�t et Alimentation;Taste and Food;;
